cluster_id,canonical_name,canon_id,basis,flag,death,tabaqa,n_entries,n_books,books,variant_names,members
17738,جعفر بن عمران، سمع الحسن، روى عنه ابن المبارك قوله، حديثه في البصريين,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عمران، سمع الحسن، روى عنه ابن المبارك قوله، حديثه في البصريين,tarikh_kabir_bukhari:
17739,جعفر بن علي بن أبي رافع عن عمه، روى عنه خلف ابن خليفة,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن علي بن أبي رافع عن عمه، روى عنه خلف ابن خليفة,tarikh_kabir_bukhari:
17740,جعفر بن عون (2) بن عمرو بن حريث أبو عون المخزومي الكوفي القرشي الحريثي، قال عبد الصمد: مات سنة سبع ومائتين (3) ، سمع ابا العميس ويحيى بن سعيد وهشام بن عروة,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عون (2) بن عمرو بن حريث أبو عون المخزومي الكوفي القرشي الحريثي، قال عبد الصمد: مات سنة سبع ومائتين (3) ، سمع ابا العميس ويحيى بن سعيد وهشام بن عروة,tarikh_kabir_bukhari:
17741,جعفر بن كيسان أبو معروف البصري سمع معاذة العدوية وعمرة بنت قيس، روى عنه عبد الملك بن عمرو، وهو مولى بني عدي قال: حدثتني عمرة سمعت عائشة: الفرار من الطاعون كالفرار من الزحف - عن النبي صلى الله عليه وسلم,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن كيسان أبو معروف البصري سمع معاذة العدوية وعمرة بنت قيس، روى عنه عبد الملك بن عمرو، وهو مولى بني عدي قال: حدثتني عمرة سمعت عائشة: الفرار من الطاعون كالفرار من الزحف - عن النبي صلى الله عليه وسلم,tarikh_kabir_bukhari:
17742,جعفر بن أبي كثير المدني مولى بني زريق الأنصاري </span>والد إسماعيل، عن عثمان بن صهيب عن أبيه في الدين - قاله لي إبراهيم بن المنذر عن كثير بن جعفر سمع أباه,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن أبي كثير المدني مولى بني زريق الأنصاري </span>والد إسماعيل، عن عثمان بن صهيب عن أبيه في الدين - قاله لي إبراهيم بن المنذر عن كثير بن جعفر سمع أباه,tarikh_kabir_bukhari:
17743,جعفر بن أبي كثير (2) عن أبيه - قاله لنا قتيبة: عن بكر بن كليب، وقال مسدد وغيره موسى بن إسماعيل: عن بكر عن جعفر بن كثير، مرسل، حديثه في البصريين,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن أبي كثير (2) عن أبيه - قاله لنا قتيبة: عن بكر بن كليب، وقال مسدد وغيره موسى بن إسماعيل: عن بكر عن جعفر بن كثير، مرسل، حديثه في البصريين,tarikh_kabir_bukhari:
17744,جعفر بن محمد بن علي بن حسين بن علي بن أبي طالب الهاشمي المدني أبو عبد الله الهاشمي، سمع أباه والقاسم وعطاء، سمع منه مالك والثوري وشعبة، قال أبو نعيم: مات سنة ثمان وأربعين ومائة,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن محمد بن علي بن حسين بن علي بن أبي طالب الهاشمي المدني أبو عبد الله الهاشمي، سمع أباه والقاسم وعطاء، سمع منه مالك والثوري وشعبة، قال أبو نعيم: مات سنة ثمان وأربعين ومائة,tarikh_kabir_bukhari:
17745,جعفر بن محمد بن عباد بن جعفر المخزومي، حجازي، عن أبيه، روى عنه محمد بن سليمان المسمولى [و - 1] ذكره عن عبد الرزاق عن معمر,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن محمد بن عباد بن جعفر المخزومي، حجازي، عن أبيه، روى عنه محمد بن سليمان المسمولى [و - 1] ذكره عن عبد الرزاق عن معمر,tarikh_kabir_bukhari:
17746,جعفر بن المطلب بن أبي وداعة السهمي القرشي المكي أخو كثير، عن عمرو بن العاص، روى ابن جريج عن ابن جعفر وسعيد بن كثير عن جعفر، وقال عبد الرزاق قال ابن جريج: أمرت سعيد بن جعفر أن يسأل أباه جعفر بن المطلب بن أبي وداعة: هل أدركت أحدا يجمع في الحجر؟ فأخبرني سعيد أنه سأل أباه فقال: ادركت عتبة ابن أبي سفيان يجمع في الحجر,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن المطلب بن أبي وداعة السهمي القرشي المكي أخو كثير، عن عمرو بن العاص، روى ابن جريج عن ابن جعفر وسعيد بن كثير عن جعفر، وقال عبد الرزاق قال ابن جريج: أمرت سعيد بن جعفر أن يسأل أباه جعفر بن المطلب بن أبي وداعة: هل أدركت أحدا يجمع في الحجر؟ فأخبرني سعيد أنه سأل أباه فقال: ادركت عتبة ابن أبي سفيان يجمع في الحجر,tarikh_kabir_bukhari:
17747,جعفر بن محمود بن محمد بن مسلمة الحارثي الأنصاري المديني، سمع جابرا، سمع منه إبراهيم (2) ، وروى عنه ابن اخيه سليمان ابن محمد,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن محمود بن محمد بن مسلمة الحارثي الأنصاري المديني، سمع جابرا، سمع منه إبراهيم (2) ، وروى عنه ابن اخيه سليمان ابن محمد,tarikh_kabir_bukhari:
