name_norm,display_name,n_books,n_entries,source_types,books,pages
سليمان بن مسافع الحجبي,سليمان بن مسافع الحجبي,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,duafa_uqayli:ج2/ص141
سواده بن اسماعيل,سوادة بن إسماعيل,3,3,general; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi; tarikh_kabir_bukhari,
شيخ بن ابي خالد,شيخ بن أبي خالد,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,mughni_duafa_dhahabi:ج1/ص301 | duafa_uqayli:ج2/ص197
عبد الله بن حكيم,عبد الله بن حكيم,3,3,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج6/ص57 | duafa_uqayli:ج2/ص242
عبد الله بن واقد,عبد الله بن واقد,3,3,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص457 | duafa_uqayli:ج2/ص312
عبد الرحمن بن ابي قيس,عبد الرحمن بن أبي قيس,3,3,general; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tarikh_kabir_bukhari,duafa_uqayli:ج2/ص343
عبد العزيز بن حكيم الحضرمي,عبد العزيز بن حكيم الحضرمي,3,3,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tabaqat_ibnsad,duafa_uqayli:ج3/ص14
علي بن عبد الحميد,علي بن عبد الحميد,3,3,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,
عمر بن سعيد,عمر بن سعيد,3,3,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج8/ص47
عمر بن الوليد الشني,عمر بن الوليد الشني,3,3,general; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tarikh_kabir_bukhari,
ليث بن محمد الموقري,ليث بن محمد الموقري,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,
محمد بن الحجاج المصفر,محمد بن الحجاج المصفر,3,3,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tabaqat_ibnsad,
محمد بن عثمان,محمد بن عثمان,3,3,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج8/ص61
محمد بن القاسم,محمد بن القاسم,3,3,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,
محمد بن النعمان,محمد بن النعمان,3,3,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص264 | duafa_uqayli:ج4/ص146
يحيي بن عبد الرحمن,يحيى بن عبد الرحمن,3,3,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج7/ص247
يحيي بن عثمان,يحيى بن عثمان,3,3,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tabaqat_ibnsad,duafa_uqayli:ج4/ص418
يعقوب بن عبد الله,يعقوب بن عبد الله,3,3,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج7/ص505
